player,ipo_price,final_payout,roi,name,position,fantasy_points_scored,sector_code,date
James Harden,12.13,20,0.6488046166529265,NBA Daily Main Market 10/24,SG,61.75,NBA,2022-10-24
RJ Barrett,5.59,3,-0.46332737030411447,NBA Daily Main Market 10/24,SG,26,NBA,2022-10-24
Bam Adebayo,6.09,4.75,-0.22003284072249588,NBA Daily Main Market 10/24,C,32,NBA,2022-10-24
Jimmy Butler,8.05,7.5,-0.06832298136645971,NBA Daily Main Market 10/24,SF,42,NBA,2022-10-24
Kyrie Irving,8.45,18,1.1301775147928996,NBA Daily Main Market 10/24,PG,61.5,NBA,2022-10-24
Kevin Durant,11.48,14,0.21951219512195116,NBA Daily Main Market 10/24,SF,50.75,NBA,2022-10-24
Jayson Tatum,11.26,8,-0.2895204262877442,NBA Daily Main Market 10/24,SF,43,NBA,2022-10-24
Jaylen Brown,8.22,4.5,-0.4525547445255475,NBA Daily Main Market 10/24,SF,31.5,NBA,2022-10-24
Tyrese Haliburton,7.65,7.25,-0.05228758169934645,NBA Daily Main Market 10/24,PG,40.5,NBA,2022-10-24
Joel Embiid,13.76,7.75,-0.4367732558139535,NBA Daily Main Market 10/24,C,42.75,NBA,2022-10-24
DeMar DeRozan,7.96,6.84,-0.14070351758793972,NBA Daily Main Market 10/24,SG,38.75,NBA,2022-10-24
Damian Lillard,9,15,0.6666666666666666,NBA Daily Main Market 10/24,PG,55.5,NBA,2022-10-24
Rudy Gobert,8.42,3.7,-0.5605700712589073,NBA Daily Main Market 10/24,C,27.75,NBA,2022-10-24
Marcus Smart,3.75,4.13,0.1013333333333333,NBA Daily Main Market 10/24,PG,30.75,NBA,2022-10-24
Anthony Edwards,7.13,1.08,-0.8485273492286115,NBA Daily Main Market 10/24,SG,17.5,NBA,2022-10-24
Ja Morant,11.95,25,1.092050209205021,NBA Daily Main Market 10/24,PG,63,NBA,2022-10-24
Karl-Anthony Towns,8.55,10,0.1695906432748537,NBA Daily Main Market 10/24,C,46.25,NBA,2022-10-24
Fred VanVleet,6.15,8.5,0.3821138211382113,NBA Daily Main Market 10/24,PG,43.5,NBA,2022-10-24
