Player,Team 
Steph Curry,Golden State Warriors
Giannis Antetokounmpo,Milwaukee Bucks
Nikola Jokic,Denver Nuggets
Luka Doncic,Dallas Mavericks
Kevin Durant,Brooklyn Nets
Joel Embiid,Philadelphia 76ers
Jayson Tatum,Boston Celtics
LeBron James,Los Angeles Lakers
Devin Booker,Phoenix Suns
Ja Morant,Memphis Grizzlies
Jimmy Butler,Miami Heat
Kawhi Leonard,Los Angeles Clippers
Trae Young,Atlanta Hawks
Donovan Mitchell,Cleveland Cavaliers
Kyrie Irving,Brooklyn Nets
Paul George,Los Angeles Clippers
Zach LaVine,Chicago Bulls
Damian Lillard,Portland Trail Blazers
DeMar DeRozan,Chicago Bulls
Jaylen Brown,Boston Celtics
Chris Paul,Phoenix Suns
Bradley Beal,Washington Wizards
LaMelo Ball,Charlotte Hornets
Pascal Siakam,Toronto Raptors
Anthony Edwards,Minnesota Timberwolves
Brandon Ingram,New Orleans Pelicans
Anthony Davis,Los Angeles Lakers
Khris Middleton,Milwaukee Bucks
Bam Adebayo,Miami Heat
Darius Garland,Cleveland Cavaliers
Shai Gilgeous-Alexander,Oklahoma City Thunder
Karl-Anthony Towns,Minnesota Timberwolves
James Harden,Philadelphia 76ers
Jamal Murray,Denver Nuggets
De’Aaron Fox,Sacramento Kings
Dejounte Murray,Atlanta Hawks
Rudy Gobert,Minnesota Timberwolves
Andrew Wiggins,Golden State Warriors
Domantas Sabonis,Sacramento Kings
Deandre Ayton,Phoenix Suns
Jrue Holiday,Milwaukee Bucks
C.J. McCollum,New Orleans Pelicans
Klay Thompson,Golden State Warriors
Marcus Smart,Boston Celtics
Jarrett Allen,Cleveland Cavaliers
RJ Barrett,New York Knicks
Cade Cunningham,Detroit Pistons
Tyrese Haliburton,Indiana Pacers
Fred VanVleet,Toronto Raptors
Jordan Poole,Golden State Warriors
