"NAME","RANK_PROJECTED","RANK_PROJECTED_LIVE","RANK_SCORED","FANTASY_POINTS_PROJECTED","FANTASY_POINTS_PROJECTED_LIVE","FANTASY_POINTS_SCORED","IPO_PRICE","SUGGESTED_PRICE","LAST_PRICE","BID_PRICE","ASK_PRICE","FINAL_PRICE","PROJECTED_VALUATION","CURRENT_VALUATION","TRADEABLE_ID","ENTITY_ID","TEAM_ID","TEAM_ABBREVIATION","EVENT_ID","EVENT_NAME"
"Nikola Jokic",1,1,1,54.36,54.36,"NULL","NULL",13.83,"NULL","NULL","NULL","NULL","25","25","tdbl_6369e253c08de5cf6cb399d24c249554","en_6cb399d24c249554400e3be520480301","team_0d0866361e9040ebffc04d6b5615caf7","DEN","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Kevin Durant",2,2,2,53.34,53.34,"NULL","NULL",12.53,"NULL","NULL","NULL","NULL","20","20","tdbl_6369e253c08de5cf3e62cf64271b5acb","en_3e62cf64271b5acb76ab4466250f1c1a","team_926e47503c56d019668d93e2cfa33df6","BKN","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Ja Morant",3,4,3,48.95,48.95,"NULL","NULL",10.61,"NULL","NULL","NULL","NULL","18","18","tdbl_6369e253c08de5cf4e6934614546f665","en_4e6934614546f665f922b42e238d411c","team_ee38041b627b686997c75b66a27c2d63","MEM","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"LeBron James",4,3,4,49.42,49.42,"NULL","NULL",10.58,"NULL","NULL","NULL","NULL","16","16","tdbl_6369e253c08de5cf1452baccd9371298","en_1452baccd9371298c7afbb1641b188bc","team_c810af314a7b97e51d7b768db3b140dd","LAL","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Dejounte Murray",5,5,5,47.42,47.42,"NULL","NULL",10.14,"NULL","NULL","NULL","NULL","15","15","tdbl_6369e253c08de5cf9ff8269f39a3a9ef","en_9ff8269f39a3a9efd8071652a0190821","team_4d7379c8d756e5a15190c56b550778a8","ATL","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Bobby Portis",6,9,6,43.67,43.67,"NULL","NULL",8.21,"NULL","NULL","NULL","NULL","14","14","tdbl_6369e253c08de5cfdfebd1d75822b846","en_dfebd1d75822b8461db2fd6f8cedb8cb","team_a6917fcb35a29ee9de8c00be7e36f5ae","MIL","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Jayson Tatum",7,6,7,45.28,45.28,"NULL","NULL",9.05,"NULL","NULL","NULL","NULL","13","13","tdbl_6369e253c08de5cfda4bddbbc347c31f","en_da4bddbbc347c31feb5f2e7b12506b74","team_1fb9f79b7b84d69cf4ca8b6c43ca0817","BOS","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Paul George",8,7,8,44.87,44.87,"NULL","NULL",9.07,"NULL","NULL","NULL","NULL","12","12","tdbl_6369e253c08de5cff59563a6406f63f4","en_f59563a6406f63f4bd7c3b0a9108b530","team_7dd4f60270d41675e670de5d3b365167","LAC","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Devin Booker",9,8,9,44.03,44.03,"NULL","NULL",8.01,"NULL","NULL","NULL","NULL","11.5","11.5","tdbl_6369e253c08de5cf53bced79c5450658","en_53bced79c545065841bc86995bb8dce0","team_b24eab7ad40329a6c2d98499001984d6","PHX","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Shai Gilgeous-Alexander",10,10,10,42.97,42.97,"NULL","NULL",7.5,"NULL","NULL","NULL","NULL","11","11","tdbl_6369e253c08de5cf33aee19dae855240","en_33aee19dae85524062ebd9103b8bc4d9","team_f8d4d4a89c62cfd39080728541a78e1d","OKC","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
