player,ipo_price,final_payout,roi,name,position,fantasy_points_scored,sector_code,date,num_pos,num_neg,num_neutral,sum_sent_score,total_tweets,avg_sent_score,pos_perc,neg_perc,neutral_perc,lag_sum_sent_score,lag_avg_sent_score,lag_total_tweets,lag_pos_perc
James Harden,12.13,20,0.6488046166529265,NBA Daily Main Market 10/24,SG,61.75,NBA,2022-10-24,427,907,27,-63.6661241763107,1361,-0.046778930327928514,0.31373989713445993,0.6664217487141807,0.019838354151359296,-16.9529038015284,-0.04788955876137966,354,0.327683615819209
RJ Barrett,5.59,3,-0.46332737030411447,NBA Daily Main Market 10/24,SG,26,NBA,2022-10-24,167,159,98,-6.88758789475215,424,-0.016244311072528654,0.3938679245283019,0.375,0.23113207547169812,0.907762229161948,0.0226940557290487,40,0.5
Bam Adebayo,6.09,4.75,-0.22003284072249588,NBA Daily Main Market 10/24,C,32,NBA,2022-10-24,58,44,32,2.31399755947519,134,0.017268638503546194,0.43283582089552236,0.3283582089552239,0.23880597014925373,-0.689478708151883,-0.031339941279631044,22,0.4090909090909091
Jimmy Butler,8.05,7.5,-0.06832298136645971,NBA Daily Main Market 10/24,SF,42,NBA,2022-10-24,320,82,1,48.0132088143364,403,0.1191394759660953,0.794044665012407,0.20347394540942929,0.0024813895781637717,23.2335309189642,0.1350786681335128,172,0.7965116279069767
Kyrie Irving,8.45,18,1.1301775147928996,NBA Daily Main Market 10/24,PG,61.5,NBA,2022-10-24,148,140,162,1.26381685549654,450,0.0028084819011034226,0.3288888888888889,0.3111111111111111,0.36,4.24064563069954,0.030075500926947094,141,0.3475177304964539
Kevin Durant,11.48,14,0.21951219512195116,NBA Daily Main Market 10/24,SF,50.75,NBA,2022-10-24,314,221,233,17.8370622115763,768,0.023225341421323306,0.4088541666666667,0.2877604166666667,0.3033854166666667,8.88408197004347,0.03748557793267287,237,0.4430379746835443
Jayson Tatum,11.26,8,-0.2895204262877442,NBA Daily Main Market 10/24,SF,43,NBA,2022-10-24,428,234,418,37.0308115278993,1080,0.034287788451758616,0.3962962962962963,0.21666666666666667,0.387037037037037,33.7226692968667,0.06677756296409247,505,0.5306930693069307
Jaylen Brown,8.22,4.5,-0.4525547445255475,NBA Daily Main Market 10/24,SF,31.5,NBA,2022-10-24,396,217,239,51.344205220537,852,0.06026315166729695,0.4647887323943662,0.2546948356807512,0.2805164319248826,7.73298511178212,0.04495921576617511,172,0.43023255813953487
Tyrese Haliburton,7.65,7.25,-0.05228758169934645,NBA Daily Main Market 10/24,PG,40.5,NBA,2022-10-24,93,56,54,6.43020260419861,203,0.0316758748975301,0.458128078817734,0.27586206896551724,0.2660098522167488,4.04468124855944,0.04444704668746638,91,0.5054945054945055
Joel Embiid,13.76,7.75,-0.4367732558139535,NBA Daily Main Market 10/24,C,42.75,NBA,2022-10-24,156,113,48,5.04271712716429,317,0.015907625006827415,0.4921135646687697,0.35646687697160884,0.15141955835962145,1.7111149679076,0.008346902282476098,205,0.45365853658536587
DeMar DeRozan,7.96,6.84,-0.14070351758793972,NBA Daily Main Market 10/24,SG,38.75,NBA,2022-10-24,80,32,42,8.06296644676414,154,0.05235692497898792,0.5194805194805194,0.2077922077922078,0.2727272727272727,3.36295670643527,0.04101166715164963,82,0.5609756097560976
Damian Lillard,9,15,0.6666666666666666,NBA Daily Main Market 10/24,PG,55.5,NBA,2022-10-24,268,140,223,22.7228227138133,631,0.03601081254170095,0.4247226624405705,0.2218700475435816,0.35340729001584786,-4.54301200594551,-0.0030510490301850304,1489,0.25654801880456685
Rudy Gobert,8.42,3.7,-0.5605700712589073,NBA Daily Main Market 10/24,C,27.75,NBA,2022-10-24,95,87,62,-1.40716879372573,244,-0.005767085220187418,0.38934426229508196,0.35655737704918034,0.2540983606557377,4.75925369296942,0.019037014771877678,250,0.436
Marcus Smart,3.75,4.13,0.1013333333333333,NBA Daily Main Market 10/24,PG,30.75,NBA,2022-10-24,295,77,17,57.3214538644777,389,0.147355922530791,0.7583547557840618,0.19794344473007713,0.043701799485861184,27.5643016721988,0.15485562737190336,178,0.7921348314606742
Anthony Edwards,7.13,1.08,-0.8485273492286115,NBA Daily Main Market 10/24,SG,17.5,NBA,2022-10-24,160,141,177,-2.87451356652607,478,-0.006013626708213536,0.33472803347280333,0.29497907949790797,0.3702928870292887,5.25936236960569,0.014176178893815877,371,0.3638814016172507
Ja Morant,11.95,25,1.092050209205021,NBA Daily Main Market 10/24,PG,63,NBA,2022-10-24,707,518,559,28.1523598400165,1784,0.015780470762341087,0.3963004484304933,0.29035874439461884,0.3133408071748879,18.065352844311,0.04050527543567489,446,0.5
Karl-Anthony Towns,8.55,10,0.1695906432748537,NBA Daily Main Market 10/24,C,46.25,NBA,2022-10-24,28,21,18,0.252789021821832,67,0.0037729704749527165,0.417910447761194,0.31343283582089554,0.26865671641791045,-0.594097247689942,-0.009901620794832366,60,0.26666666666666666
Fred VanVleet,6.15,8.5,0.3821138211382113,NBA Daily Main Market 10/24,PG,43.5,NBA,2022-10-24,69,26,32,8.35353338224065,127,0.06577585340346968,0.5433070866141733,0.2047244094488189,0.25196850393700787,0.0716194012902424,0.0071619401290242395,10,0.3
Pascal Siakam,10.09,9,-0.10802775024777006,NBA Daily Main Market 10/24,PF,45.25,NBA,2022-10-24,108,45,72,13.1701184860046,225,0.05853385993779822,0.48,0.2,0.32,4.13889679617299,0.07525266902132709,55,0.509090909090909
Nikola Jokic,14.96,5,-0.6657754010695187,NBA Daily Main Market 10/24,C,32.75,NBA,2022-10-24,69,48,36,1.55551262815188,153,0.01016674920360706,0.45098039215686275,0.3137254901960784,0.23529411764705882,7.25046501048404,0.04166933914071287,174,0.4827586206896552
Zach LaVine,6,2.75,-0.5416666666666666,NBA Daily Main Market 10/24,SG,25,NBA,2022-10-24,109,71,51,4.66734134441519,231,0.020204940884914244,0.47186147186147187,0.30735930735930733,0.22077922077922077,-3.35234711871897,-0.031625916214329905,106,0.27358490566037735
Jamal Murray,4.09,1,-0.7555012224938875,NBA Daily Main Market 10/24,PG,8.5,NBA,2022-10-24,68,64,88,0.250636404778954,220,0.0011392563853588817,0.3090909090909091,0.2909090909090909,0.4,3.24282512368632,0.029214640753930814,111,0.4144144144144144
Bradley Beal,9.11,10.5,0.15257958287596055,NBA Daily Main Market 10/23,SG,41,NBA,2022-10-23,68,66,61,-0.12157050773762,195,-6.234385012185641e-4,0.3487179487179487,0.3384615384615385,0.3128205128205128,1.83816251846784,0.00957376311702,192,0.4427083333333333
De'Aaron Fox,10.2,15,0.47058823529411775,NBA Daily Main Market 10/23,PG,46.75,NBA,2022-10-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klay Thompson,4.86,2.08,-0.5720164609053499,NBA Daily Main Market 10/23,SG,14.5,NBA,2022-10-23,95,70,77,3.11839461937037,242,0.012885928179216405,0.3925619834710744,0.2892561983471074,0.3181818181818182,-8.20845067299535,-0.019405320739941723,423,0.35224586288416077
Andrew Wiggins,6.85,11.5,0.6788321167883212,NBA Daily Main Market 10/23,SF,41.25,NBA,2022-10-23,96,40,117,15.3304203406595,253,0.060594546801025696,0.3794466403162055,0.15810276679841898,0.4624505928853755,11.1414969920214,0.052554231094440566,212,0.5094339622641509
Devin Booker,11.11,13,0.1701170117011702,NBA Daily Main Market 10/23,SG,45.75,NBA,2022-10-23,151,99,123,10.074144263409,373,0.027008429660613942,0.40482573726541554,0.26541554959785524,0.3297587131367292,5.32589765819816,0.020804287727336564,256,0.4140625
Stephen Curry,14,14,0,NBA Daily Main Market 10/23,PG,45.75,NBA,2022-10-23,326,220,354,22.9509415580593,900,0.025501046175621444,0.3622222222222222,0.24444444444444444,0.3933333333333333,27.9721375045039,0.033701370487354096,830,0.4506024096385542
Deandre Ayton,9.26,4.63,-0.5,NBA Daily Main Market 10/23,C,23.5,NBA,2022-10-23,25,21,31,1.80869309587983,77,0.023489520725712077,0.3246753246753247,0.2727272727272727,0.4025974025974026,-7.71437533245534,-0.03744842394395796,206,0.2815533980582524
Jordan Poole,6.13,7.25,0.18270799347471453,NBA Daily Main Market 10/23,SG,32.5,NBA,2022-10-23,159,99,132,16.1617131931994,390,0.04144029023897282,0.4076923076923077,0.25384615384615383,0.3384615384615385,-23.7004271836582,-0.0283497932818878,836,0.33133971291866027
Donovan Mitchell,12.99,20,0.5396458814472671,NBA Daily Main Market 10/23,SG,52.75,NBA,2022-10-23,674,325,549,85.6531065270428,1548,0.05533146416475633,0.4354005167958656,0.2099483204134367,0.3546511627906977,75.7637869447,0.0760680591814257,996,0.4919678714859438
Chris Paul,8.43,7.75,-0.08066429418742582,NBA Daily Main Market 10/23,PG,33,NBA,2022-10-23,258,163,180,17.67411057995,601,0.02940783790341098,0.4292845257903494,0.27121464226289516,0.2995008319467554,-6.42665266805529,-0.009722621282988337,661,0.3903177004538578
Domantas Sabonis,10.65,12,0.12676056338028166,NBA Daily Main Market 10/23,PF,43.5,NBA,2022-10-23,21,21,19,-0.047278078306324,61,-7.750504640380984e-4,0.3442622950819672,0.3442622950819672,0.3114754098360656,0.980565679862172,0.02580435999637295,38,0.5
Jarrett Allen,7.77,10,0.2870012870012871,NBA Daily Main Market 10/23,C,39,NBA,2022-10-23,96,73,70,3.97434675550878,239,0.01662906592263088,0.401673640167364,0.3054393305439331,0.2928870292887029,1.34338495298469,0.016792311912308625,80,0.45
Kawhi Leonard,5.52,4.88,-0.11594202898550719,NBA Daily Main Market 10/23,SF,24,NBA,2022-10-23,110,66,75,10.3374254584112,251,0.04118496198570199,0.43824701195219123,0.26294820717131473,0.29880478087649404,4.27351910365696,0.02273148459392,188,0.39893617021276595
Rudy Gobert,11.01,8.75,-0.20526793823796546,NBA Daily Main Market 10/23,C,37.25,NBA,2022-10-23,109,75,66,4.75925369296942,250,0.019037014771877678,0.436,0.3,0.264,0.135805496824503,4.8329358300534873e-4,281,0.42704626334519574
