player,date,num_pos,num_neg,num_neutral,sum_sent_score,total_tweets,avg_sent_score,pos_perc,neg_perc,neutral_perc
Stephen Curry,2022-10-17,280,122,187,26.7717003140068,589,0.045452801891352805,0.47538200339558573,0.2071307300509338,0.3174872665534805
Giannis Antetokounmpo,2022-10-17,60,19,27,7.92698323007078,106,0.0747828606610451,0.5660377358490566,0.1792452830188679,0.25471698113207547
Nikola Jokic,2022-10-17,58,10,16,8.99447317227395,84,0.1070770615746899,0.6904761904761905,0.11904761904761904,0.19047619047619047
Luka Doncic,2022-10-17,122,48,58,14.4982089360114,228,0.06358863568426053,0.5350877192982456,0.21052631578947367,0.2543859649122807
Kevin Durant,2022-10-17,173,61,84,20.9123878050946,318,0.06576222580218427,0.5440251572327044,0.1918238993710692,0.2641509433962264
Joel Embiid,2022-10-17,150,67,41,11.3498607041463,258,0.04399170815560582,0.5813953488372093,0.25968992248062017,0.15891472868217055
Jayson Tatum,2022-10-17,128,34,98,19.3823119124045,260,0.07454735350924807,0.49230769230769234,0.13076923076923078,0.3769230769230769
LeBron James,2022-10-17,550,273,410,64.9927856542453,1233,0.05271109947627356,0.44606650446066504,0.22141119221411193,0.33252230332522303
Devin Booker,2022-10-17,58,38,74,1.9027613946187,170,0.011192714085992353,0.3411764705882353,0.2235294117647059,0.43529411764705883
Ja Morant,2022-10-17,114,45,68,11.99578481216,227,0.05284486701392071,0.5022026431718062,0.19823788546255505,0.29955947136563876
Jimmy Butler,2022-10-17,189,49,3,25.2982781187733,241,0.1049721083766527,0.7842323651452282,0.2033195020746888,0.012448132780082987
Kawhi Leonard,2022-10-17,82,46,41,7.13821079735057,169,0.04223793371213355,0.48520710059171596,0.27218934911242604,0.24260355029585798
Trae Young,2022-10-17,237,47,4,36.1033970377618,288,0.12535901749222847,0.8229166666666666,0.16319444444444445,0.013888888888888888
Donovan Mitchell,2022-10-17,51,20,34,4.32795168251961,105,0.04121858745256771,0.4857142857142857,0.19047619047619047,0.3238095238095238
Kyrie Irving,2022-10-17,92,70,107,5.33631936101135,269,0.019837618442421375,0.3420074349442379,0.26022304832713755,0.39776951672862454
Paul George,2022-10-17,186,115,125,10.6067383870892,426,0.024898446918049766,0.43661971830985913,0.2699530516431925,0.2934272300469484
Zach LaVine,2022-10-17,16,9,18,2.33839314736664,43,0.0543812359852707,0.37209302325581395,0.20930232558139536,0.4186046511627907
Damian Lillard,2022-10-17,40,15,53,3.2017277294813,108,0.02964562712482685,0.37037037037037035,0.1388888888888889,0.49074074074074076
DeMar DeRozan,2022-10-17,65,62,56,2.99011267874839,183,0.016339413545073168,0.3551912568306011,0.33879781420765026,0.30601092896174864
Jaylen Brown,2022-10-17,94,43,102,11.0160789718912,239,0.046092380635528035,0.39330543933054396,0.1799163179916318,0.42677824267782427
Chris Paul,2022-10-17,180,107,122,13.715323788383,409,0.03353379899360147,0.4400977995110024,0.2616136919315403,0.2982885085574572
Bradley Beal,2022-10-17,42,9,29,8.12681513750442,80,0.10158518921880526,0.525,0.1125,0.3625
LaMelo Ball,2022-10-17,56,60,33,-3.67926806040695,149,-0.024693074230919126,0.37583892617449666,0.40268456375838924,0.2214765100671141
Pascal Siakam,2022-10-17,22,12,9,1.75822590014486,43,0.040888974421973485,0.5116279069767442,0.27906976744186046,0.20930232558139536
Anthony Edwards,2022-10-17,81,26,97,11.3921711352691,204,0.055843976153279906,0.39705882352941174,0.12745098039215685,0.47549019607843135
Brandon Ingram,2022-10-17,30,16,48,4.38271142702284,94,0.04662458964917915,0.3191489361702128,0.1702127659574468,0.5106382978723404
Anthony Davis,2022-10-17,162,102,128,8.90390767039574,392,0.022714050179580968,0.413265306122449,0.2602040816326531,0.32653061224489793
Khris Middleton,2022-10-17,37,87,40,-6.18969592628952,164,-0.03774204833103366,0.22560975609756098,0.5304878048780488,0.24390243902439024
Bam Adebayo,2022-10-17,73,30,13,8.16374180983671,116,0.07037708456755784,0.6293103448275862,0.25862068965517243,0.11206896551724138
Darius Garland,2022-10-17,26,9,19,3.97821981189237,54,0.07367073725726611,0.48148148148148145,0.16666666666666666,0.35185185185185186
Shai Gilgeous-Alexander,2022-10-17,10,6,10,1.2590960949966,26,0.04842677288448461,0.38461538461538464,0.23076923076923078,0.38461538461538464
Karl-Anthony Towns,2022-10-17,14,7,7,0.852400282051107,28,0.030442867216110964,0.5,0.25,0.25
James Harden,2022-10-17,162,216,22,-5.30729774548029,400,-0.013268244363700726,0.405,0.54,0.055
Jamal Murray,2022-10-17,60,29,43,3.78607752214631,132,0.02868240547080538,0.45454545454545453,0.2196969696969697,0.32575757575757575
De’Aaron Fox,2022-10-17,23,7,4,2.5458044348862,34,0.074876601026064707,0.6764705882352942,0.20588235294117646,0.11764705882352941
Dejounte Murray,2022-10-17,22,10,11,3.93552812928763,43,0.09152390998343325,0.5116279069767442,0.23255813953488372,0.2558139534883721
Rudy Gobert,2022-10-17,65,45,37,3.32637916795616,147,0.022628429713987482,0.4421768707482993,0.30612244897959184,0.25170068027210885
Andrew Wiggins,2022-10-17,111,33,48,19.4191439767191,192,0.1011413748787453,0.578125,0.171875,0.25
Domantas Sabonis,2022-10-17,5,0,2,1.24834149099367,7,0.17833449871338145,0.7142857142857143,0,0.2857142857142857
Deandre Ayton,2022-10-17,17,4,13,2.35295896559548,34,0.06920467545869059,0.5,0.11764705882352941,0.38235294117647056
Jrue Holiday,2022-10-17,74,11,0,15.9271008635877,85,0.18737765721867883,0.8705882352941177,0.12941176470588237,0
C.J. McCollum,2022-10-17,2,0,0,0.142433353354756,2,0.071216676677378,1,0,0
Klay Thompson,2022-10-17,72,78,52,0.433081991078759,202,0.0021439702528651436,0.3564356435643564,0.38613861386138615,0.25742574257425743
Marcus Smart,2022-10-17,240,89,6,41.4883033646383,335,0.12384568168548746,0.7164179104477612,0.2656716417910448,0.01791044776119403
Jarrett Allen,2022-10-17,35,5,8,4.58792456389672,48,0.09558176174784833,0.7291666666666666,0.10416666666666667,0.16666666666666666
RJ Barrett,2022-10-17,85,34,31,8.35738405306588,150,0.05571589368710587,0.5666666666666667,0.22666666666666666,0.20666666666666667
Cade Cunningham,2022-10-17,52,13,34,7.13982511468409,99,0.07211944560286959,0.5252525252525253,0.13131313131313133,0.3434343434343434
Tyrese Haliburton,2022-10-17,26,6,16,3.03257607769514,48,0.06317866828531542,0.5416666666666666,0.125,0.3333333333333333
Fred VanVleet,2022-10-17,13,4,0,1.89959790466335,17,0.11174105321549117,0.7647058823529411,0.23529411764705882,0
Jordan Poole,2022-10-17,449,182,162,55.2710978955075,793,0.06969873631211539,0.5662042875157629,0.22950819672131148,0.2042875157629256
Stephen Curry,2022-10-18,920,483,858,82.6362266124203,2261,0.03654853012490947,0.4068996019460416,0.21362229102167182,0.37947810703228657
Giannis Antetokounmpo,2022-10-18,143,54,63,13.682115377224,260,0.052623520681630766,0.55,0.2076923076923077,0.2423076923076923
Nikola Jokic,2022-10-18,134,33,51,16.8666070646956,218,0.07736975717750275,0.6146788990825688,0.15137614678899083,0.23394495412844038
Luka Doncic,2022-10-18,263,107,124,29.2918620701947,494,0.05929526734857227,0.5323886639676113,0.2165991902834008,0.25101214574898784
Kevin Durant,2022-10-18,283,186,156,14.972251011404,625,0.0239556016182464,0.4528,0.2976,0.2496
Joel Embiid,2022-10-18,891,765,360,-3.49857394332462,2016,-0.0017354037417284822,0.4419642857142857,0.3794642857142857,0.17857142857142858
Jayson Tatum,2022-10-18,1143,608,1366,129.535155783513,3117,0.0415576374024745,0.3666987487969201,0.19505935194096888,0.438241899262111
LeBron James,2022-10-18,1037,473,998,108.87097368188,2508,0.04340947913950558,0.4134768740031898,0.18859649122807018,0.39792663476874
Devin Booker,2022-10-18,99,53,93,6.41582106030731,245,0.0261870247359482,0.40408163265306124,0.2163265306122449,0.3795918367346939
